project_name	ID_EIA	type	latitude	longitude	region	state	state_fips	state_name	year	capacity_DC_kW	capacity_AC_kW	inverter_loading_ratio	mount_type	tracking_type	tilt	azimuth	average_global_horizontal_irradiance	capacity_factor_average	tech_class_primary	tech_class_secondary	storage_flag	storage_year	storage_capacity	storage_energy	storage_tech	hybrid_flag	hybrid_tech	duplicate	sub_id	interconnect_x	point_of_interconnect	interconnect_y
Raritan Solar	60729.0	UPV	40.463231	-74.85695	PJM	NJ	34	New Jersey	2016	10000.0	7500.0	1.3333333333333333	Fixed Tilt	['Fixed']	25.0	180.0	3.9719244292	0.1761747698181001	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5479	Eastern	distribution-primary	Eastern
Howell Solar	60728.0	UPV	40.135411	-74.173781	PJM	NJ	34	New Jersey	2016	8863.0	7000.0	1.266142857142857	Fixed Tilt	['Fixed']	20.0	180.0	4.0207079909	0.1876034838293427	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5736	Eastern	distribution-primary	Eastern
Saluda I Solar	60535.0	UPV	33.968481	-81.782781	Southeast (non-ISO)	SC	45	South Carolina	2016	9995.52	6800.0	1.4699294117647062	Fixed Tilt	['Fixed']	20.0	180.0	4.5985155251	0.2191517312629071	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	11757	Eastern	distribution-primary	Eastern
Snow Camp Solar	60367.0	UPV	35.863841	-79.425375	Southeast (non-ISO)	NC	37	North Carolina	2016	8398.8	6664.0	1.2603241296518608	Fixed Tilt	['Fixed']	20.0	180.0	4.4411166667	0.1886080921065184	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10493	Eastern	distribution-primary	Eastern
SR Mavericks	60283.0	UPV	40.230021	-105.029831	West (non-ISO)	CO	8	Colorado	2016	8500.0	6500.0	1.3076923076923077	Tracking	['Single']	-1.0	180.0	4.5346242009	0.2553631255026382	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	39036	Western	distribution-primary	Western
Pfizer Peapack Solar	60762.0	UPV	40.714841	-74.665831	PJM	NJ	34	New Jersey	2016	7960.0	6200.0	1.2838709677419355	Fixed Tilt	['Fixed']	15.0	180.0	3.9367938356	0.1830427158566533	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5690	Eastern	distribution-primary	Eastern
Church Hill Solar Farm	60737.0	UPV	39.113731	-75.961941	PJM	MD	24	Maryland	2016	7360.0	6000.0	1.2266666666666668	Fixed Tilt	['Fixed']	20.0	180.0	4.1698474886	0.1856703709941695	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	8975	Eastern	distribution-primary	Eastern
Grove Solar Center	60330.0	UPV	43.936871	-117.382891	West (non-ISO)	OR	41	Oregon	2016	7854.599999999999	6000.0	1.3091	Tracking	['Single']	-1.0	180.0	4.5567038813	0.2497766928870258	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	35762	Western	distribution-primary	Western
Cedar Branch Solar Project (Buena Vista)	60266.0	UPV	39.503221	-74.964031	PJM	NJ	34	New Jersey	2016	7146.09	5900.0	1.2112016949152542	Fixed Tilt	['Fixed']	20.0	184.0	4.1014714612	0.1834866716316852	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	5143	Eastern	distribution-primary	Eastern
Kokomo Solar Park (Kokomo Solar 1)	60864.0	UPV	40.474391	-86.146181	MISO	IN	18	Indiana	2016	7151.58	5400.0	1.3243666666666667	Fixed Tilt	['Fixed']	30.0	180.0	3.9513751142	0.173482322570718	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	22219	Eastern	distribution-primary	Eastern
